Date,Band,date.x,month.x,Microfilaria_Infected,num_fieldsinspected,field1_erythrocytes,field2_erythrocytes,field3_erythrocytes,field4_erythrocytes,field5_erythrocytes,average_erythrocytes,total_erythrocytes,heterophil,lymphocyte,eosinophil,thrombocyte,monocyte,basophil,H.L_ratio,total_leukocyte,notes,Species,Extraction_date,MF,pox_type,Sex,PCR_sex,use_sex,Plumage,Estado.reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing.Chord,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,season,trad_season,wet_dry,month.y,Microscopy,PCR,Body_condition
4-Jan-24,SMA1362,20-May-23,May,U,25,700,800,712,850,790,770.4,19260,4,92,1,27,1,1,0.043478261,126,,FUL,3-Jul-24,pos,#N/A,U,M,M,0,0,9.76,7.94,5.65,18.92,59,13.95,R,NA,NA,1,1,wet,5,mic,PCR,12.93684157
4-Jan-24,LF1255,30-May-23,May,U,25,480,850,556,553,700,627.8,15695,4,70,0,0,0,0,0.057142857,74,,SCA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,1,1,wet,5,mic,NA,19.56788506
4-Jan-24,SM2027,30-May-23,May,U,20,300,220,256,520,552,369.6,7392,4,31,1,10,2,0,0.129032258,48,,SCA,17-Jul-24,neg,Ref 2,M,M,M,5,CP5,14.75,9.13,6.43,19.92,69,19.96,I,A,5.42,1,1,wet,5,mic,PCR,19.96331816
4-Jan-24,SM2024,30-May-23,May,U,20,360,500,652,600,621,546.6,10932,9,95,2,18,3,0,0.094736842,127,,FOR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,1,1,wet,5,mic,NA,16.04173717
4-Jan-24,SM2036,30-May-23,May,U,25,325,312,291,416,662,401.2,10030,1,30,0,4,1,0,0.033333333,36,,FOR,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,1,1,wet,5,mic,NA,22.35362982
4-Jan-24,SMC038,30-May-23,May,U,25,514,350,601,300,419,436.8,10920,25,313,0,19,0,0,0.079872204,357,,GAMO,15-May-24,pos,#N/A,U,F,F,0,0,17.26,NA,NA,31.54,99,41.74,U,NA,NA,1,1,wet,5,mic,PCR,48.38531835
4-Jan-24,SMA1403,28-Jun-23,June,U,25,700,408,700,695,500,600.6,15015,10,86,5,13,2,0,0.11627907,116,,FUL,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,13.83383629
4-Jan-24,SMC067,28-Jun-23,June,U,20,800,700,685,721,600,701.2,14024,3,36,1,183,1,5,0.083333333,229,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,54.34654678
4-Jan-24,SMA1406,28-Jun-23,June,U,25,806,795,556,500,703,672,16800,5,51,3,12,4,0,0.098039216,75,,MYI,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,6,mic,NA,NA
4-Jan-24,SM2117,28-Jun-23,June,U,25,386,600,634,560,669,569.8,14245,15,101,0,12,0,0,0.148514851,128,,FOR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,23.04143298
15-Jan-24,SM2111,28-Jun-23,June,I,25,451,477,648,300,419,459,11475,4,67,1,2,11,7,0.059701493,92,no hay muestraen las cajas,FOR,NA,pos,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,16.35543469
15-Jan-24,SM2116,28-Jun-23,June,U,25,200,230,552,521,593,419.2,10480,2,24,1,8,11,0,0.083333333,46,,CRA,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,38.55738471
15-Jan-24,SMA1405,28-Jun-23,June,U,20,369,509,605,629,692,560.8,11216,1,25,0,8,2,2,0.04,38,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,12.16050476
16-Jan-24,SMC064,28-Jun-23,June,U,25,507,596,558,600,539,560,14000,2,61,0,22,25,25,0.032786885,135,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,51.06000094
16-Jan-24,SMC066,28-Jun-23,June,U,35,348,312,250,235,205,270,9450,1,35,0,17,10,0,0.028571429,63,,MELA,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,NA
